Year;Bioenergy;Geothermal;Offshore wind;Solar;Hydropower;Onshore wind
2010;0.07818927;0.05044529;0.18785676;0.41714868;0.038882706;0.102061465
2011;0.056684334;;0.19754878;0.31129825;0.03656066;0.09648669
2012;0.06187914;0.08569454;0.16660058;0.23263325;0.038037654;0.08839028
2013;0.08219819;0.06411118;0.16666164;0.1794014;0.042512473;0.08920628
2014;0.08237512;0.06533503;0.17219925;0.16125813;0.042456634;0.080203146
2015;0.07277113;0.05884901;0.14052741;0.12107989;0.036572017;0.068961546
2016;0.071178205;0.06780182;0.11632308;0.106340416;0.04838911;0.06385536
2017;0.07107003;0.07091718;0.10615218;0.083659746;0.05072171;0.05995916
2018;0.055360332;0.06758344;0.10004871;0.07113868;0.039836742;0.05087996
2019;0.06393309;0.067305215;0.08638764;0.062119152;0.041408572;0.044592004
2020;0.07247308;0.054264043;0.08626575;0.055443965;0.045965873;0.03713682
2021;0.067342535;0.06761599;0.07516697;0.04834554;0.04829987;0.033123367
